0 : .0.1.3.4.2 , .0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..0,0,1..2,0,0..1,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
1 : .0.1.4.2.3 , .0.0.0.0.0 ; 0,1,1..1,0,1..0,0,0..4,1,0..2,1,1..3,0,1..2,0,0..1,1,0..4,1,1..0,0,1..3,0,0..2,1,0..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..4,0,0..3,1,0..
2 : .0.2.1.4.3 , .0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..4,1,1..0,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..4,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..
3 : .0.2.3.1.4 , .0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..3,1,1..4,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..4,1,1..0,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..4,1,0..
4 : .0.2.4.3.1 , .0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..4,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..4,1,0..3,1,1..4,0,1..2,0,0..1,1,0..
5 : .0.3.1.2.4 , .0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..4,1,1..0,0,1..4,0,0..3,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..4,1,0..
6 : .0.3.2.4.1 , .0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..2,1,1..3,0,1..0,0,0..4,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..0,0,1..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..
7 : .0.3.4.1.2 , .0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..4,1,1..0,0,1..2,0,0..1,1,0..2,1,1..3,0,1..0,0,0..4,1,0..1,1,1..2,0,1..1,0,0..0,1,0..3,1,1..4,0,1..3,0,0..2,1,0..
8 : .0.4.1.3.2 , .0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..2,1,1..3,0,1..1,0,0..0,1,0..4,1,1..0,0,1..2,0,0..1,1,0..3,1,1..4,0,1..0,0,0..4,1,0..1,1,1..2,0,1..3,0,0..2,1,0..
9 : .0.4.2.1.3 , .0.0.0.0.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..3,1,1..4,0,1..0,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..4,1,1..0,0,1..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..
10 : .0.1.4.2.3 , .0.0.0.0.1 ; 0,1,1..1,0,1..0,0,0..4,1,0..1,0,0..0,1,0..1,1,1..2,0,1..4,1,1..0,0,1..3,0,0..2,1,0..3,1,1..4,0,1..2,1,1..3,0,1..2,0,0..1,1,0..4,0,0..3,1,0..
11 : .0.3.2.4.1 , .0.0.0.0.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..1,0,0..0,1,0..3,1,1..4,0,1..1,1,1..2,0,1..3,0,0..2,1,0..4,0,0..3,1,0..2,1,1..3,0,1..0,0,0..4,1,0..2,0,0..1,1,0..
12 : .0.3.1.2.4 , .0.0.0.1.0 ; 0,1,1..1,0,1..3,1,1..4,0,1..2,0,0..1,1,0..2,1,1..3,0,1..1,1,1..2,0,1..1,0,0..0,1,0..3,0,0..2,1,0..4,1,1..0,0,1..4,0,0..3,1,0..0,0,0..4,1,0..
13 : .0.4.2.1.3 , .0.0.0.1.0 ; 0,1,1..1,0,1..2,0,0..1,1,0..3,0,0..2,1,0..1,1,1..2,0,1..4,0,0..3,1,0..1,0,0..0,1,0..4,1,1..0,0,1..3,1,1..4,0,1..0,0,0..4,1,0..2,1,1..3,0,1..
14 : .0.1.3.4.2 , .0.0.0.1.1 ; 0,1,1..1,0,1..0,0,0..4,1,0..3,1,1..4,0,1..2,1,1..3,0,1..4,0,0..3,1,0..1,0,0..0,1,0..1,1,1..2,0,1..4,1,1..0,0,1..2,0,0..1,1,0..3,0,0..2,1,0..
15 : .0.2.1.4.3 , .0.0.0.1.1 ; 0,1,1..1,0,1..2,0,0..1,1,0..4,0,0..3,1,0..4,1,1..0,0,1..3,1,1..4,0,1..3,0,0..2,1,0..1,1,1..2,0,1..0,0,0..4,1,0..1,0,0..0,1,0..2,1,1..3,0,1..
16 : .0.2.4.1.3 , .0.0.0.1.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..3,1,1..4,0,1..1,1,1..2,0,1..0,0,0..4,1,0..2,0,0..1,1,0..3,0,0..2,1,0..4,0,0..3,1,0..1,0,0..0,1,0..2,1,1..3,0,1..
17 : .0.2.4.3.1 , .0.0.0.1.1 ; 0,1,1..1,0,1..3,1,1..4,0,1..3,0,0..2,1,0..4,0,0..3,1,0..4,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..1,1,1..2,0,1..0,0,0..4,1,0..2,0,0..1,1,0..
18 : .0.3.1.4.2 , .0.0.0.1.1 ; 0,1,1..1,0,1..3,1,1..4,0,1..2,1,1..3,0,1..1,1,1..2,0,1..4,1,1..0,0,1..2,0,0..1,1,0..4,0,0..3,1,0..0,0,0..4,1,0..1,0,0..0,1,0..3,0,0..2,1,0..
19 : .0.3.4.1.2 , .0.0.0.1.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..2,0,0..1,1,0..2,1,1..3,0,1..4,0,0..3,1,0..0,0,0..4,1,0..3,1,1..4,0,1..1,1,1..2,0,1..1,0,0..0,1,0..3,0,0..2,1,0..
20 : .0.1.3.4.2 , .0.0.1.0.0 ; 0,1,1..1,0,1..0,0,0..4,1,0..2,0,0..1,1,0..3,1,1..4,0,1..3,0,0..2,1,0..4,0,0..3,1,0..4,1,1..0,0,1..2,1,1..3,0,1..1,0,0..0,1,0..1,1,1..2,0,1..
21 : .0.2.4.3.1 , .0.0.1.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..0,0,0..4,1,0..3,1,1..4,0,1..2,1,1..3,0,1..4,0,0..3,1,0..1,1,1..2,0,1..4,1,1..0,0,1..1,0,0..0,1,0..2,0,0..1,1,0..
22 : .0.2.4.1.3 , .0.0.1.0.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..3,0,0..2,1,0..0,0,0..4,1,0..2,1,1..3,0,1..1,0,0..0,1,0..2,0,0..1,1,0..3,1,1..4,0,1..1,1,1..2,0,1..4,0,0..3,1,0..
23 : .0.3.1.4.2 , .0.0.1.0.1 ; 0,1,1..1,0,1..3,0,0..2,1,0..4,1,1..0,0,1..2,1,1..3,0,1..0,0,0..4,1,0..1,0,0..0,1,0..3,1,1..4,0,1..2,0,0..1,1,0..4,0,0..3,1,0..1,1,1..2,0,1..
24 : .0.1.4.2.3 , .0.0.1.1.0 ; 0,1,1..1,0,1..0,0,0..4,1,0..2,0,0..1,1,0..4,1,1..0,0,1..3,1,1..4,0,1..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,0,0..3,1,0..2,1,1..3,0,1..
25 : .0.2.3.1.4 , .0.0.1.1.0 ; 0,1,1..1,0,1..3,1,1..4,0,1..1,0,0..0,1,0..2,0,0..1,1,0..4,1,1..0,0,1..4,0,0..3,1,0..2,1,1..3,0,1..1,1,1..2,0,1..3,0,0..2,1,0..0,0,0..4,1,0..
26 : .0.2.4.1.3 , .0.0.1.1.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..1,0,0..0,1,0..2,0,0..1,1,0..3,0,0..2,1,0..0,0,0..4,1,0..1,1,1..2,0,1..4,1,1..0,0,1..3,1,1..4,0,1..2,1,1..3,0,1..
27 : .0.3.1.4.2 , .0.0.1.1.0 ; 0,1,1..1,0,1..3,1,1..4,0,1..1,0,0..0,1,0..3,0,0..2,1,0..4,0,0..3,1,0..0,0,0..4,1,0..2,0,0..1,1,0..4,1,1..0,0,1..2,1,1..3,0,1..1,1,1..2,0,1..
28 : .0.3.2.4.1 , .0.0.1.1.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..0,0,0..4,1,0..1,1,1..2,0,1..4,1,1..0,0,1..1,0,0..0,1,0..3,0,0..2,1,0..3,1,1..4,0,1..2,1,1..3,0,1..2,0,0..1,1,0..
29 : .0.4.1.3.2 , .0.0.1.1.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..1,0,0..0,1,0..4,1,1..0,0,1..2,1,1..3,0,1..2,0,0..1,1,0..3,0,0..2,1,0..3,1,1..4,0,1..0,0,0..4,1,0..1,1,1..2,0,1..
30 : .0.1.3.4.2 , .0.0.1.1.1 ; 0,1,1..1,0,1..0,0,0..4,1,0..3,1,1..4,0,1..2,0,0..1,1,0..3,0,0..2,1,0..4,1,1..0,0,1..2,1,1..3,0,1..4,0,0..3,1,0..1,0,0..0,1,0..1,1,1..2,0,1..
31 : .0.1.4.2.3 , .0.0.1.1.1 ; 0,1,1..1,0,1..0,0,0..4,1,0..1,0,0..0,1,0..1,1,1..2,0,1..3,0,0..2,1,0..4,1,1..0,0,1..3,1,1..4,0,1..2,0,0..1,1,0..4,0,0..3,1,0..2,1,1..3,0,1..
32 : .0.2.4.1.3 , .0.0.1.1.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..3,1,1..4,0,1..1,1,1..2,0,1..4,0,0..3,1,0..1,0,0..0,1,0..2,0,0..1,1,0..3,0,0..2,1,0..0,0,0..4,1,0..2,1,1..3,0,1..
33 : .0.2.4.3.1 , .0.0.1.1.1 ; 0,1,1..1,0,1..3,1,1..4,0,1..3,0,0..2,1,0..0,0,0..4,1,0..2,1,1..3,0,1..1,1,1..2,0,1..4,0,0..3,1,0..4,1,1..0,0,1..1,0,0..0,1,0..2,0,0..1,1,0..
34 : .0.3.1.4.2 , .0.0.1.1.1 ; 0,1,1..1,0,1..3,1,1..4,0,1..2,0,0..1,1,0..4,0,0..3,1,0..0,0,0..4,1,0..1,0,0..0,1,0..3,0,0..2,1,0..4,1,1..0,0,1..2,1,1..3,0,1..1,1,1..2,0,1..
35 : .0.3.2.4.1 , .0.0.1.1.1 ; 0,1,1..1,0,1..4,1,1..0,0,1..1,0,0..0,1,0..3,0,0..2,1,0..3,1,1..4,0,1..1,1,1..2,0,1..4,0,0..3,1,0..0,0,0..4,1,0..2,1,1..3,0,1..2,0,0..1,1,0..
